Scenario,Species,Region,Inventory Sector,CEDS Fuel,GAINS Sector,Sectoral Emissions Fraction,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,AGR_PIG-PL-[M animals],0.038491114031175964,6.8456571429999995,6.8456571429999995,6.8456571429999995,6.8456571429999995,6.8456571429999995,5.252976778981289,5.406948291425949
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,AGR_PIG-PS-[M animals],0.0016938254941765954,6.8456571429999995,6.8456571429999995,6.8456571429999995,6.8456571429999995,6.8456571429999995,5.252976778981289,5.406948291425949
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,AGR_POULT-LH-[M animals],0.020823452437599976,0.465662935,0.465662935,0.465662935,0.465662935,0.465662935,0.4224639135460797,0.4210557266806616
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,AGR_POULT-OP-[M animals],0.11608551592066282,0.45793409,0.45793409,0.45793409,0.45793409,0.45793409,0.41545206471621515,0.41406725024571156
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,COWS_3000_MILK-DL-[kt milk],0.06720823046399699,0.005427497,0.005427497,0.005427497,0.005427497,0.005427497,0.0036006014612153,0.003269686664134814
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,FCON_OTHN-NOF-[kt N],0.05007156198789158,0.045,0.045,0.045,0.045,0.045,0.04133231311588608,0.04432571924997696
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,FCON_UREA-NOF-[kt N],0.30221666351082555,0.2423,0.2423,0.2423,0.2423,0.2423,0.22255154373287106,0.23866937276154263
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,FERTPRO-NOF-[kt N],0.002836962252666256,0.0023,0.0023,0.0023,0.0023,0.0023,0.0021125404481452887,0.002265536761665489
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,OTH_NH3_EMISS-NOF-[kt NH3],0.008193885070296952,1.0,1.0,1.0,1.0,1.0,0.6836575590837892,0.576712341527834
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_ENG-GAS-[PJ],0.0010963143153827379,0.00073,0.005797500000000001,0.010865000000000001,0.0159325,0.021,0.021,0.021
