Species,Fuel,Sector,Region,2014
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,IDZ,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,USA,8.699827758785836e-06
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,CAN,7.098634915963385e-06
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,MEX,5.1658647282702154e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,JPN,5.815315368537003e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,ANZ,6.604499534468353e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,EUR,4.956076371763328e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,ROE,4.1365996660777286e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,RUS,6.837225717839653e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,ASI,0.00013382812054713746
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,CHN,3.307645200043587e-06
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,IND,4.788152897442563e-06
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,BRA,3.493497883101583e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,AFR,0.0001484714126904237
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,MES,0.0005329415771258143
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,LAM,0.000318278981621631
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,REA,7.856538283539524e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,KOR,8.650659401161519e-06
ALD2,liquid-fuel-plus-natural-gas,ALD2_ene,IDZ,2.2095922846539262e-05
ALD2,liquid-fuel-plus-natural-gas,ALD2_ind,USA,1.7310936111839417e-05
